session_id,timestamp,trip_km,engine_rpm,engine_temp_c,engine_load_pct,oil_temp_c,oil_quality_pct,oil_age_days,oil_km_used,fuel_level_pct,fuel_type,ethanol_blend_pct,fuel_consumption_instant,fuel_consumption_avg,fuel_energy_efficiency,fuel_quality_score,fuel_moisture_risk,fuel_age_days,tyre_pressure_fl,tyre_pressure_fr,tyre_pressure_rl,tyre_pressure_rr,tyre_temp_avg_c,tyre_tread_depth_mm,total_km_on_tyres,speed_kmph,acceleration,lateral_g,window_fl_pct,window_fr_pct,window_rl_pct,window_rr_pct,sunroof_open_pct,mirror_angle_l,mirror_angle_r,aero_drag_score,drive_mode,gear,ac_on,ac_temp_set_c,ambient_temp_c,humidity_pct,road_type,traffic_level,aqi,battery_voltage,alternator_output,cabin_temp_c,ac_filter_age_days,ac_recirculation
60692651,2024-06-01 07:30:00,0,1387,60,35.0,73.8,15.9,3,5932.4,75.2,e20,21.0,6.27,5.45,5,95.5,high,21,31.9,32.5,32.4,33.1,53.2,7.08,9186.1,29.6,-2.25,0.34,6.2,38.3,6.7,1.9,0.0,-4.0,3.5,98.9,eco,3,True,20.2,35.3,41.5,city,free,104,12.3,13.52,28.5,52,False
60692651,2024-06-01 07:31:00,0.99,1804,64.1,45.5,74.8,15.9,3,5932.4,75.2,e20,19.3,5.66,5.93,5,95.5,high,21,31.9,33.2,32.6,32.4,56.3,7.08,9186.1,44.1,-1.68,-0.14,28.1,27.3,1.4,12.7,0.0,0.3,-2.6,97.8,eco,3,True,18.4,35.3,84.8,city,free,105,12.14,13.44,29.1,52,False
60692651,2024-06-01 07:32:00,1.56,1643,65.7,45.4,72.8,15.9,3,5932.4,75.2,e20,21.2,5.12,5.88,5,95.5,high,21,32.1,32.8,32.8,32.8,55.1,7.08,9186.1,42.7,0.58,-0.09,23.3,14.5,19.9,2.8,0.0,-0.1,2.6,98.2,eco,3,True,18.7,35.3,83.1,city,free,97,12.18,13.66,26.8,52,False
60692651,2024-06-01 07:33:00,3.28,1623,65.1,35.1,80.9,15.9,3,5932.4,75.2,e20,20.0,6.12,6.01,5,95.5,high,21,32.2,32.2,32.7,33.1,54.0,7.08,9186.1,44.3,-1.06,-0.38,25.0,33.7,10.2,4.0,0.0,-1.3,-3.4,97.7,eco,3,True,18.5,35.3,59.2,city,free,108,12.38,13.71,29.1,52,False
60692651,2024-06-01 07:34:00,1.96,1613,70.1,40.5,79.1,15.9,3,5932.4,75.2,e20,20.2,6.38,5.69,5,95.5,high,21,31.8,32.5,32.3,32.3,56.7,7.08,9186.1,46.0,0.32,0.07,8.0,12.5,19.9,13.0,0.0,-0.6,0.2,98.2,eco,4,True,20.9,35.3,62.4,city,free,107,12.08,13.26,27.3,52,False
60692651,2024-06-01 07:35:00,4.05,1679,72.1,41.1,78.5,15.9,3,5932.4,75.2,e20,21.8,6.01,5.65,5,95.5,high,21,33.1,33.2,32.9,33.1,54.2,7.08,9186.1,47.6,-1.33,-0.2,26.1,25.8,1.2,14.6,0.0,3.0,-3.9,97.7,eco,4,True,23.1,35.3,40.0,city,free,81,12.17,13.3,26.7,52,False
60692651,2024-06-01 07:36:00,3.68,1345,76.1,34.2,85.1,15.9,3,5932.4,75.2,e20,22.3,6.23,5.71,5,95.5,high,21,32.9,32.6,32.8,32.6,56.3,7.08,9186.1,33.8,-0.14,0.34,22.2,28.7,3.1,5.9,0.0,4.7,0.8,98.6,eco,3,True,21.5,35.3,32.4,city,free,107,12.27,13.49,26.5,52,False
60692651,2024-06-01 07:37:00,5.66,1603,77.5,36.2,87.2,15.9,3,5932.4,75.2,e20,19.8,5.33,5.53,5,95.5,high,21,32.9,32.5,32.5,33.1,57.2,7.08,9186.1,43.1,2.28,-0.1,37.4,0.4,12.4,11.3,0.0,-4.0,0.4,98.1,eco,3,True,18.8,35.3,36.9,city,free,74,12.12,13.47,27.3,52,False
60692651,2024-06-01 07:38:00,4.77,1608,78.9,41.7,93.4,15.9,3,5932.4,75.2,e20,21.7,5.33,5.73,5,95.5,high,21,33.0,33.4,31.7,32.4,53.5,7.08,9186.1,39.9,-2.33,0.36,16.9,11.1,0.1,15.4,0.0,1.4,-2.4,98.8,eco,3,True,22.1,35.3,70.0,city,free,70,12.26,13.59,27.6,52,False
60692651,2024-06-01 07:39:00,6.31,1763,84.6,43.2,93.2,15.9,3,5932.4,75.2,e20,19.6,5.16,5.91,5,95.5,high,21,33.1,32.5,32.4,32.4,54.1,7.08,9186.1,42.5,2.15,-0.22,37.0,31.3,8.2,13.4,0.0,2.4,-2.5,97.3,eco,3,True,23.9,35.3,62.2,city,free,72,12.2,13.28,27.4,52,False
60692651,2024-06-01 07:40:00,7.13,1373,84.4,43.0,91.0,15.9,3,5932.4,75.2,e20,20.5,5.62,5.87,5,95.5,high,21,32.0,32.6,32.8,32.8,54.4,7.08,9186.1,33.8,-0.81,-0.34,15.4,23.1,5.1,14.2,0.0,-5.0,4.3,98.6,eco,3,True,23.4,35.3,66.9,city,free,82,12.26,13.48,28.5,52,False
60692651,2024-06-01 07:41:00,8.68,1502,84.5,36.9,99.3,15.9,3,5932.4,75.2,e20,19.9,5.68,5.7,5,95.5,high,21,32.7,33.3,32.7,33.1,56.5,7.08,9186.1,38.7,1.84,-0.28,31.8,6.8,1.7,10.3,0.0,1.3,-1.6,98.6,eco,3,True,22.7,35.3,43.1,city,free,84,12.32,13.63,28.3,52,False
60692651,2024-06-01 07:42:00,8.0,1674,84.5,46.1,91.5,15.9,3,5932.4,75.2,e20,19.1,5.68,5.76,5,95.5,high,21,32.1,32.6,32.0,32.5,56.5,7.08,9186.1,43.4,2.04,-0.18,17.7,32.6,17.8,8.5,0.0,4.1,-0.5,97.6,eco,3,True,18.4,35.3,80.0,city,free,85,12.24,13.28,27.7,52,False
60692651,2024-06-01 07:43:00,10.38,1604,86.5,47.0,98.7,15.9,3,5932.4,75.2,e20,22.0,6.5,5.62,5,95.5,high,21,32.2,33.2,32.0,33.1,57.3,7.08,9186.1,47.0,1.35,0.27,21.5,29.4,16.0,18.0,0.0,-0.1,-2.3,97.1,eco,4,True,20.5,35.3,80.1,city,free,95,12.18,13.46,28.3,52,False
60692651,2024-06-01 07:44:00,11.55,1759,82.1,35.4,101.5,15.9,3,5932.4,75.2,e20,21.7,4.95,5.47,5,95.5,high,21,32.8,33.1,32.3,32.0,55.9,7.08,9186.1,42.6,1.67,-0.27,9.5,18.9,2.3,19.0,0.0,-0.3,-2.4,98.5,eco,3,True,21.2,35.3,69.7,city,free,77,12.21,13.39,29.2,52,False
60692651,2024-06-01 07:45:00,11.04,1574,84.2,38.6,94.6,15.9,3,5932.4,75.2,e20,18.4,6.41,5.71,5,95.5,high,21,32.1,32.6,32.3,32.2,55.2,7.08,9186.1,40.5,-1.33,-0.04,26.0,24.6,18.4,15.5,0.0,-0.4,3.3,97.6,eco,3,True,20.9,35.3,72.7,city,free,75,12.18,13.51,27.0,52,False
60692651,2024-06-01 07:46:00,11.81,1336,83.5,30.5,94.0,15.9,3,5932.4,75.2,e20,20.3,5.83,5.65,5,95.5,high,21,31.8,32.5,32.2,32.3,53.3,7.08,9186.1,29.7,-1.34,0.07,18.1,12.3,4.6,14.4,0.0,-1.8,2.4,99.0,eco,3,True,23.8,35.3,45.1,city,free,100,12.33,13.71,26.9,52,False
60692651,2024-06-01 07:47:00,11.66,1379,84.7,36.0,92.0,15.9,3,5932.4,75.2,e20,18.7,6.27,6.0,5,95.5,high,21,33.0,33.1,32.4,32.8,54.2,7.08,9186.1,30.8,0.73,0.09,16.6,23.8,12.4,15.5,0.0,-1.2,4.1,98.5,eco,3,True,23.6,35.3,55.5,city,free,106,12.19,13.35,27.6,52,False
60692651,2024-06-01 07:48:00,14.6,1768,82.2,33.8,91.8,15.9,3,5932.4,75.2,e20,18.1,6.17,5.78,5,95.5,high,21,31.9,32.3,32.1,32.5,56.4,7.08,9186.1,44.4,-1.63,0.14,28.0,37.7,10.0,9.9,0.0,-4.2,-4.6,97.3,eco,3,True,22.0,35.3,54.0,city,free,75,12.15,13.43,27.1,52,False
60692651,2024-06-01 07:49:00,14.81,1299,83.6,28.5,101.6,15.9,3,5932.4,75.2,e20,19.8,6.3,5.45,5,95.5,high,21,32.3,33.3,32.3,33.0,52.1,7.08,9186.1,29.5,-2.27,0.38,20.7,24.9,10.0,8.8,0.0,-4.5,-2.3,98.6,eco,3,True,23.2,35.3,46.6,city,free,101,12.09,13.26,28.9,52,False
60692651,2024-06-01 07:50:00,16.41,1579,84.5,43.2,94.0,15.9,3,5932.4,75.2,e20,18.2,5.89,6.02,5,95.5,high,21,33.1,32.5,32.5,32.7,55.2,7.08,9186.1,39.7,-2.74,0.2,13.8,22.1,10.9,9.1,0.0,-1.8,-3.1,98.4,eco,3,True,23.1,35.3,81.1,city,free,96,12.26,13.57,27.0,52,False
60692651,2024-06-01 07:51:00,15.89,1564,86.5,41.1,92.0,15.9,3,5932.4,75.2,e20,22.5,4.99,5.81,5,95.5,high,21,32.2,33.4,32.5,32.5,55.7,7.08,9186.1,36.7,-0.85,-0.06,17.4,3.9,12.7,17.5,0.0,-0.6,1.9,98.6,eco,3,True,19.8,35.3,90.0,city,free,88,12.16,13.68,28.7,52,False
60692651,2024-06-01 07:52:00,17.87,1369,84.0,32.1,89.3,15.9,3,5932.4,75.2,e20,21.4,6.31,5.68,5,81.9,high,21,32.8,33.1,32.0,32.0,56.0,7.08,9186.1,31.7,1.07,0.18,36.4,29.8,16.7,18.1,0.0,2.8,-2.7,97.7,eco,3,True,23.8,35.3,38.4,city,free,86,12.19,13.63,26.9,52,False
60692651,2024-06-01 07:53:00,17.65,1890,87.7,48.6,98.2,15.9,3,5932.4,75.2,e20,19.8,6.24,5.46,5,95.5,high,21,31.8,32.6,32.2,33.1,56.7,7.08,9186.1,47.8,-1.67,-0.35,26.9,23.4,16.4,18.8,0.0,-3.9,-2.7,97.1,eco,4,True,23.1,35.3,36.0,city,free,109,12.22,13.21,28.0,52,False
60692651,2024-06-01 07:54:00,16.27,1604,83.1,38.0,89.9,15.9,3,5932.4,75.2,e20,20.7,6.34,5.71,5,95.5,high,21,31.9,33.1,32.7,32.6,55.8,7.08,9186.1,42.6,-1.03,-0.28,0.9,31.5,4.9,2.5,0.0,0.6,-4.3,98.8,eco,3,True,20.7,35.3,87.8,city,free,84,12.18,13.61,26.9,52,False
60692651,2024-06-01 07:55:00,17.48,1608,86.0,38.0,92.1,15.9,3,5932.4,75.2,e20,20.7,5.02,5.8,5,87.8,high,21,32.9,33.0,32.9,32.7,55.2,7.08,9186.1,39.0,1.33,-0.23,13.0,39.8,10.6,9.1,0.0,1.1,-4.0,98.0,eco,3,True,20.1,35.3,64.7,city,free,105,12.32,13.57,28.3,52,False
60692651,2024-06-01 07:56:00,17.93,1517,85.1,44.3,101.5,15.9,3,5932.4,75.2,e20,22.4,5.87,5.91,5,95.5,high,21,31.9,33.0,32.4,32.6,56.6,7.08,9186.1,41.6,-0.89,-0.25,24.5,25.7,0.5,18.6,0.0,3.3,-2.3,97.9,eco,3,True,19.9,35.3,43.2,city,free,91,12.2,13.29,27.2,52,False
60692651,2024-06-01 07:57:00,20.11,1463,85.5,38.6,94.8,15.9,3,5932.4,75.2,e20,18.1,5.08,5.74,5,95.5,high,21,32.1,32.3,31.9,32.7,54.0,7.08,9186.1,30.1,0.45,0.06,9.2,22.3,13.4,7.1,0.0,-1.0,2.4,98.9,eco,3,True,22.6,35.3,69.3,city,free,90,12.19,13.43,26.5,52,False
60692651,2024-06-01 07:58:00,23.43,1762,85.4,44.4,104.3,15.9,3,5932.4,75.2,e20,21.8,5.85,5.82,5,95.5,high,21,32.3,33.1,32.5,32.0,56.2,7.08,9186.1,45.0,-0.79,-0.17,6.0,2.7,8.8,6.1,0.0,-2.3,-4.4,99.2,eco,4,True,21.8,35.3,50.1,city,free,73,12.16,13.47,27.7,52,False
